	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
1111	TUTT Q6/2, TUTT Q6/1, TUTT Q6/3	III_37_0023	Radolfzell, Radolfzell	8.97017, 47.74493	gugummer	g u g u mm e r	gugumer	g u g u m e r	1
1112	TUTT C4, TUTT B11	III_35_0050	Mahlspüren, Mahlspüren	8.97748, 47.87563	gugummere	g u g u mm e r e	gugumere	g u g u m e r e	1
1113	MH S9	II_60_0064	Unterschwarzach, Unterschwarzach	8.98202, 49.36856	gugumer	g u g u m e r	gegumer	g e g u m e r	1
1114	TUTT Q10	III_37_0026	Gaienhofen, Gaienhofen	8.9829, 47.68263	gugumerēͣ	g u g u m e r ē ͣ	gugumere	g u g u m e r e	2
1115	KST u1	III_20_0053, III_20_0056, III_20_0054, III_20_0055	Gemmingen, Gemmingen	8.98358, 49.15633	guggumma	g u gg u m m a	gugum̄er	g u g u m ̄ e r	4
1116	MH K3	II_59_0092	Eberbach, Eberbach	8.98755, 49.46322	gegumå	g e g u m å	gegumer	g e g u m e r	2
1117	MH T8	II_60_0065	Aglasterhausen-Daudenzell, Aglasterhausen	8.98981, 49.35471	gegummer	g e g u mm e r	gugummer	g u g u mm e r	1
1118	KST n6	III_19_0049	Kirchardt, Kirchardt	8.9918, 49.20667	gugumer	g u g u m e r	gugummer	g u g u mm e r	1
1119	TUTT Q9	III_37_0027	Horn, Horn	8.99438, 47.69562	gugummerǟ	g u g u mm e r ǟ	gukummrä̆	g u k u mm r ä ̆	4
1120	TUTT f3	III_32_0041	Schwenningen, Schwenningen	8.99619, 48.10638	gugumere	g u g u m e r e	gukummer	g u k u mm e r	3
1121	TUTT u3	III_34_0048	Gallmannsweil, Gallmannsweil	8.99683, 47.92357	guggummere	g u gg u m m e r e	gugummere	g u g u mm e r e	1
