	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	Longitude	Latitude	item_maurer	item_DWA	Levenshtein_item	z_score_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	z_score_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype	z_score_lextype
12	Hag D 2	III_5_0022	Altweiler (Altwiller), Altweiler, Altweiler	6.98122, 48.93023	6.98122	48.93023	åtzel	elschter, atzel	1	-0.25251144499813616	atsel	elschter, atsel	999	529.1860287263053	Atzel	Atzel, Elster	999	529.091394870162
13	Co w 2	III_14_0005	Fellerlingen (Fellering), Fellerlingen (Fellering), Felleringen	6.98613, 47.89621	6.98613	47.89621	elschter, agerscht	agerscht	999	527.7358915701176	elschter, agerscht	agerscht	999	529.1860287263053	Elster, Agerst	Agerst	999	529.091394870162
14	Co w 3	III_14_0006	Hüssern-Wesserling, Hüsseren-Wesserling (Husseren-Wesserling)	6.98836, 47.88519	6.98836	47.88519	agerschta	elster	0	-0.7815579410052661	agerschte	elschter	0	-0.5955950302609602	Agerst	Elster	0	-0.48323353219796433
15	Hag D 1	na	Hinsingen	6.99156, 48.9525	6.99156	48.9525	åtzel	na	999	527.7358915701176	atsel	na	999	529.1860287263053	Atzel	na	999	529.091394870162
16	Co D7	III_14_0086	Masmünster (Masevaux), Maasmünster	6.99386, 47.7727	6.99386	47.7727	agerschta	ackersta	4	1.3346280430232536	agerschte	agerschte	0	-0.5955950302609602	Agerst	Agerst	0	-0.48323353219796433
17	Co x 2	III_14_0007	Mitzach, Mitzach	7.00519, 47.87122	7.00519	47.87122	elschter	elster	2	0.27653505100899384	elschter	elschter	0	-0.5955950302609602	Elster	Elster	0	-0.48323353219796433
18	Co E4	III_14_0087	Aue (Lauw), Aue	7.02216, 47.75778	7.02216	47.75778	agerschta	agerscht	1	-0.25251144499813616	agerschte	agerscht	1	-0.06528309456870167	Agerst	Agerst	0	-0.48323353219796433
19	Hag E 10	na	Bissert	7.02465, 48.94167	7.02465	48.94167	åtzel	na	999	527.7358915701176	atsel	na	999	529.1860287263053	Atzel	na	999	529.091394870162
20	Co T10	na	Schaffnatt am Weier (Chavannes-Sur-LÉtang)	7.02504, 47.63178	7.02504	47.63178	agerschte	na	999	527.7358915701176	agerschte	na	999	529.1860287263053	Agerst	na	999	529.091394870162
21	Co E1	III_14_0088	Oberburbach, Oberburbach (Bourbach-Les-Haut)	7.02973, 47.7953	7.02973	47.7953	hatzel	alster	0	-0.7815579410052661	hatsel	alschter	0	-0.5955950302609602	Atzel	Elster	0	-0.48323353219796433
