	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	Longitude	Latitude	item_maurer	item_DWA	Levenshtein_item	z_score_item	phontype_maurer	phontype_DWA	Levenshtein_phontype	z_score_phontype	lextype_maurer	lextype_DWA	Levenshtein_lextype	z_score_lextype
2162	SIG n7	III_36_0078	Frickingen, Frickingen	9.27056, 47.81023	9.27056	47.81023	flieg	fliag	1	-0.25251144499813616	flieg	flieg	0	-0.5955950302609602	Fliege	Fliege	0	-0.48323353219796433
2163	MH U5	II_60_0086	Unterschefflenz, Unterschefflenz	9.27076, 49.39154	9.27076	49.39154	mugge	mugge	0	-0.7815579410052661	muke	muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2164	SIG q8/1	III_37_0047	Meersburg, Meersburg	9.27244, 47.69466	9.27244	47.69466	fliag	fliieg	2	0.27653505100899384	fliäg	flieg	1	-0.06528309456870167	Fliege	Fliege	0	-0.48323353219796433
2165	MH D7	II_58_0112	Unterneudorf, Unterneudorf	9.27534, 49.52921	9.27534	49.52921	muck	muck	0	-0.7815579410052661	muk	muk	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2166	na	III_35_0075	Hattenweiler	9.27568, 47.85957	9.27568	47.85957	na	fliege	999	527.7358915701176	na	fliege	999	529.1860287263053	na	Fliege	999	529.091394870162
2167	MH U4	II_60_0085	Mittelschefflenz, Mittelschefflenz	9.27967, 49.40042	9.27967	49.40042	mugge	mugge	0	-0.7815579410052661	muke	muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2168	MH U3	II_59_0124	Oberschefflenz, Oberschefflenz	9.28249, 49.41626	9.28249	49.41626	mugge	mucke	2	0.27653505100899384	muke	muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2169	MH U7	II_60_0090	Waldmühlbach, Waldmühlbach	9.28262, 49.36078	9.28262	49.36078	mugge	mucke	2	0.27653505100899384	muke	muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2170	SIG n13	III_36_0083, III_36_0084, III_36_0085, III_36_0086	Mimmenausen, Mimmenausen	9.2852, 47.76025	9.2852	47.76025	fliag	flieg, fliäge, fliege	1	-0.25251144499813616	fliäg	flieg, fliäge, fliege	1	-0.06528309456870167	Fliege	Fliege	0	-0.48323353219796433
2171	SIG n12	III_36_0081	Salem	9.28599, 47.77663	9.28599	47.77663	mucke	fliege	0	-0.7815579410052661	muke	fliege	0	-0.5955950302609602	Mücke	Fliege	0	-0.48323353219796433
2172	MH M14	na	Kleineicholzheim	9.28876, 49.42893	9.28876	49.42893	mugge	na	999	527.7358915701176	muke	na	999	529.1860287263053	Mücke	na	999	529.091394870162
2173	MH M13	II_59_0122	Großeicholzheim, Großeicholzheim	9.28966, 49.44361	9.28966	49.44361	mucke	mugge	2	0.27653505100899384	muke	muke	0	-0.5955950302609602	Mücke	Mücke	0	-0.48323353219796433
2174	MH D9	II_57_0143	Hornbach (Hettingenbeuern), Hornbach	9.29012, 49.591	9.29012	49.591	muck	mucke	1	-0.25251144499813616	muk	muke	1	-0.06528309456870167	Mücke	Mücke	0	-0.48323353219796433
