	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
529	TÜB b5	III_8_0102, III_8_0101	Eisental, Eisental	8.16417, 48.71189	mugg	m u gg	muck	m u ck	2
530	TÜB x2	III_10_0137	Oppenau, Oppenau	8.16423, 48.47333	muck	m u ck	mucke	m u ck e	1
531	KST S12	III_7_0123, III_7_0136	Sinzheim bei Winden, Sinzheim	8.16564, 48.76405	muck	m u ck	mugge	m u gg e	3
532	TÜB M6	III_11_0142, III_11_0141	Hausach, Hausach	8.17189, 48.28424	mugg	m u gg	muck	m u ck	2
533	TÜB b4	III_8_0110, III_8_0111	Neuweier, Neuweier	8.18377, 48.72012	mugg	m u gg	mugge	m u gg e	1
534	TÜB b9, TÜB b8, TÜB b7	III_8_0112, III_8_0113	Bühlertal-Untertal, Bühlertal-Obertal, Bühlertal-Hof, Bühlertal, Bühlertal-Hof	8.19194, 48.68215	muggä	m u gg ä	mugga	m u gg a	1
535	KST M1	III_6_0097	Steinmauern, Steinmauern	8.19956, 48.90045	mick	m i ck	mück	m ü ck	1
536	KST E7	III_5_0130	Elchesheim, Elchesheim	8.2136, 48.93047	mücke	m ü ck e	mücken	m ü ck e n	1
537	KST M9	III_6_0108	Niederbühl, Niederbühl	8.21769, 48.84547	muck	m u ck	mucke	m u ck e	1
538	TÜB M3/1	III_11_0150	Wolfach, Wolfach	8.22076, 48.30289	mugg	m u gg	mucke	m u ck e	3
539	KST T9	III_7_0126, III_7_0127	Haueneberstein, Haueneberstein	8.22194, 48.80626	muck	m u ck	mugge	m u gg e	3
540	TÜB T1	III_12_0065, III_12_0066	Hornberg, Hornberg	8.23036, 48.21193	mugge	m u gg e	mucke	m u ck e	2
541	KST M3	III_6_0098, III_6_0099	Ötigheim, Oetigheim	8.23212, 48.89333	migge	m i gg e	muk	m u k	4
542	KST E9	III_5_0131	Au am Rhein, Au am Rhein	8.23933, 48.95136	migg	m i gg	mügge	m ü gg e	2
543	KST T14/3, KST T14/2, KST T14/4, KST T14/1	III_7_0131	Baden-Baden-West, Baden-Baden , Baden-Baden, Baden-Baden Weststadt	8.24094, 48.76273	mugge	m u gg e	muck	m u ck	3
544	KST M8	III_6_0107	Rauental, Rauental	8.24794, 48.8572	muck	m u ck	mucke	m u ck e	1
545	KST E6	III_5_0139	Würmersheim, Würmersheim	8.25452, 48.94056	muk	m u k	mück	m ü ck	2
546	TÜB i1	III_9_0104	Herrenwies, Herrenwies	8.26593, 48.65907	mucken	m u ck e n	muck	m u ck	2
547	KST E5	III_5_0133, III_5_0132	Durmersheim, Durmersheim	8.2685, 48.93129	migge	m i gg e	mick	m i ck	3
548	TÜB i2	III_9_0105	Forbach-Hundsbach, Forbach-Hundsbach	8.27064, 48.62026	muck	m u ck	mugg	m u gg	2
549	KST M7	III_6_0106	Bischweier, Bischweier	8.28478, 48.83768	mücke	m ü ck e	muck	m u ck	2
550	KST E4	III_5_0136, III_5_0137, III_5_0138	Mörsch, Mörsch	8.28883, 48.96003	mick	m i ck	mück	m ü ck	1
551	KST T6	III_7_0133	Staufenberg, Staufenberg	8.3082, 48.76673	muck	m u ck	mucke	m u ck e	1
552	TÜB x4	III_10_0144, III_10_0143	Kniebis, Kniebis	8.3101, 48.47233	muͦgge	m u ͦ gg e	muck	m u ck	4
553	KST E3	III_5_0135	Forchheim, Forchheim	8.31683, 48.97425	mik	m i k	muck	m u ck	2
554	KST M5	III_6_0103	Waldprechtsweier, Waldprechtsweier	8.33173, 48.8612	muck	m u ck	mugge	m u gg e	3
555	KST x 1	III_4_0114	Daxlanden, Daxlanden	8.33737, 49.0022	mugg	m u gg	muck	m u ck	2
556	TÜB k1	III_26_0001	Raumünzach, Raumänzach	8.34869, 48.63918	muck	m u ck	mugge	m u gg e	3
557	KST U1	III_24_0001	Michelbach, Michelbach	8.35062, 48.8186	muck	m u ck	muk	m u k	1
558	KST N2, KST U6	III_24_0002	Sulzbach, Sulzbach	8.35791, 48.80596	muck	m u ck	mugg	m u gg	2
559	TÜB c8	III_25_0003, III_25_0004	Forbach, Forbach	8.3589, 48.67857	mügg	m ü gg	mück	m ü ck	2
560	TÜB c5	III_25_0002	Langenbrand, Langenbrand	8.36334, 48.70441	muck	m u ck	mugg	m u gg	2
561	TÜB N1	III_30_0007	Schenkenzell, Schenkenzell	8.37253, 48.31105	mugge	m u gg e	muck	m u ck	3
562	KST N3	III_23_0002	Oberweier, Oberweier	8.37866, 48.91717	muͦck	m u ͦ ck	mugge	m u gg e	3
563	TUTT F14	III_36_0007	Brunnadern, Brunnadern	8.38083, 47.79495	mücke	m ü ck e	mugge	m u gg e	3
564	KST F2	III_22_0001	Bulach, Bulach	8.38244, 48.9868	muck	m u ck	mugg	m u gg	2
565	KST F12	III_22_0003	Ettlingenweier, Ettlingenweier	8.38589, 48.92887	mucke	m u ck e	mucken	m u ck e n	1
566	TÜB c3	III_25_0005	Reichental, Reichental	8.39101, 48.72956	mugg	m u gg	muggä	m u gg ä	1
567	KST N13	III_23_0006	Völkersbach, Völkersbach	8.39644, 48.8701	mug	m u g	muck	m u ck	2
568	KST N4	III_23_0007	Schluttenbach, Schluttenbach	8.40022, 48.89885	mugga	m u gg a	muck	m u ck	3
569	KST F14/2, KST F14/1	III_22_0006, III_22_0004, III_22_0005	Ettlingen , Ettlingen, Ettlingen	8.40245, 48.94247	mucke	m u ck e	muck	m u ck	1
570	KST r3	III_20_0005	Linkenheim, Linkenheim	8.40844, 49.12418	muck	m u ck	mück	m ü ck	1
571	KST k1	III_19_0003	Rheinsheim, Rheinsheim	8.40954, 49.23272	mick	m i ck	migg	m i gg	2
572	KST r2	III_20_0003, III_20_0004	Hochstetten, Hochstetten	8.41566, 49.13702	micke	m i ck e	mücke	m ü ck e	1
573	KST N9	III_23_0012	Burbach, Burbach	8.43853, 48.87037	mugge	m u gg e	mucken	m u ck e n	3
574	Ma h1/2	II_59_0045, II_59_0057, II_59_0040, II_59_0041, II_59_0053, II_59_0061, II_59_0051, II_59_0042, II_59_0055, II_59_0048, II_59_0058, II_59_0050, II_59_0052, II_59_0047, II_59_0059, II_59_0054, II_59_0043, II_59_0044, II_59_0046, II_59_0049, II_59_0063, II_59_0056, II_59_0060, II_59_0062, II_59_0039	Mannheim, Mannheim	8.46678, 49.4865	muck	m u ck	mücke	m ü ck e	2
575	KST k3	III_19_0008	Huttenheim, Huttenheim	8.46955, 49.1967	mick	m i ck	mück	m ü ck	1
576	KST y1	III_21_0006	Blankenloch, Blankenloch	8.47137, 49.06482	mugge	m u gg e	muck	m u ck	3
577	KST c1	III_18_0010	Rheinhausen, Rheinhausen	8.47341, 49.28141	migg	m i gg	mück	m ü ck	3
578	KST F9	III_22_0008	Palmbach, Palmbach	8.48266, 48.94683	mugg	m u gg	muck	m u ck	2
579	KST c2	III_18_0014, III_18_0013, III_18_0011, III_18_0012	Oberhausen, Oberhausen	8.48324, 49.26035	muck	m u ck	mik	m i k	2
580	Ma h2/3, Ma h2/1, Ma h2/2	II_59_0064	Neckarau, Mannheim-Neckarau, Mannheim	8.49104, 49.45335	mik	m i k	mick	m i ck	1
581	KST y 4	III_21_0021	Grötzingen, Grötzingen	8.49556, 49.00711	mugg	m u gg	muck	m u ck	2
582	KST l9	III_19_0011, III_19_0012, III_19_0009, III_19_0010	Neudorf, Neudorf	8.49692, 49.17524	mugge	m u gg e	muck	m u ck	3
583	KST d2	III_18_0009, III_18_0008	Altlußheim, Altlussheim	8.49951, 49.30106	muck	m u ck	mucke	m u ck e	1
584	TUTT r8	III_34_0011, III_34_0009	Donaueschingen, Donaueschingen	8.50052, 47.95113	mucke	m u ck e	muck	m u ck	1
585	KST O8	III_23_0008, III_23_0009, III_23_0010	Langenalb, Langenalb	8.50104, 48.84402	muck	m u ck	muger	m u g e r	3
586	KST O1	III_22_0014	Langensteinbach, Langensteinbach	8.50638, 48.915	mūgg	m ū gg	muck	m u ck	3
587	MH z4/2, MH z4/1	II_58_0065, II_58_0066	Mannheim-Käfertal, Käferthal	8.51715, 49.51259	migg	m i gg	micke	m i ck e	3
588	KST d8	III_18_0016	Waghäusel, Waghäusel	8.51733, 49.25118	mick	m i ck	muck	m u ck	1
589	KST l1	III_19_0013	Wiesental, Wiesental	8.51962, 49.22472	mick	m i ck	mücke	m ü ck e	2
590	KST s4	III_20_0011	Neuthard, Neuthard	8.52086, 49.1278	múg	m ú g	mug	m u g	1
591	KST z6	III_21_0014, III_21_0015	Berghausen, Berghausen	8.52712, 49.00389	mugg	m u gg	muck	m u ck	2
592	KST z8	III_21_0012, III_21_0011, III_21_0013, III_21_0010, III_21_0009	Weingarten, Weingarten	8.53114, 49.0533	mug	m u g	mucke	m u ck e	3
593	KST l2	III_19_0161	Kirrlach, Kirrlach	8.54938, 49.24183	muck	m u ck	mücke	m ü ck e	2
594	KST s8	III_20_0022, III_20_0021, III_20_0023	Untergrombach, Untergrombach	8.55318, 49.0861	muck	m u ck	mucke	m u ck e	1
595	MH H6	II_59_0068	Seckenheim, Seckenheim	8.56313, 49.46724	mügge	m ü gg e	mick	m i ck	4
596	MH H3	II_59_0069	Ilvesheim, Ilvesheim	8.56668, 49.47129	mick	m i ck	mücke	m ü ck e	2
597	KST z5	III_21_0017	Wöschbach, Wöschbach	8.56737, 48.99948	muck	m u ck	mucke	m u ck e	1
598	KST G3	III_22_0016	Singen bei Pforzheim, Singen	8.56804, 48.95764	mugg	m u gg	mugge̊	m u gg e ̊	2
599	KST d4	III_18_0018	Reilingen, Reilingen	8.56943, 49.29368	mugg	m u gg	mugge	m u gg e	1
600	KST G4	III_22_0017	Wilferdingen, Wilferdingen	8.57281, 48.9487	muck	m u ck	mucke	m u ck e	1
601	MH Q6	II_60_0092	Oftersheim, Oftersheim	8.58107, 49.36823	mukke	m u kk e	mugge	m u gg e	2
