	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
166	TUTT i2	III_13_0087, III_13_0084, III_13_0086	Vöhrenbach, Vöhrenbach	8.30495, 48.04519	fliege	f l ie g e	fliëg	f l i ë g	2
167	TUTT T10	III_16_0163	Breitenfeld, Breitenfeld	8.30617, 47.65178	flǖgĕ	f l ü ̄ g ĕ	flügĕ	f l ü g ĕ	1
168	TUTT M6	III_14_0183, III_14_0182, III_14_0180, III_14_0181	Birkendorf, Birkendorf	8.3126, 47.74971	flieg	f l ie g	fliegen	f l ie g e n	2
169	TUTT b1	III_12_0159, III_12_0158, III_12_0160	Langenschiltach, Langenschiltach	8.3168, 48.16202	fliag	f l i a g	flieg	f l ie g	1
170	TUTT q3	III_13_0158	Hammereisenbach, Hammereisenbach	8.31732, 47.99481	flīäge	f l ī ä g e	flieg	f l ie g	3
171	TUTT M9	III_15_0127	Uhlingen, Uhlingen Ühlingen	8.31845, 47.7201	flüge	f l ü g e	fliege	f l ie g e	2
172	TUTT b7	III_12_0170	Oberkirnach, Oberkirnach	8.31901, 48.09369	flie̠gĕ	f l ie ̠ g ĕ	flieg	f l ie g	2
173	TUTT T15	III_16_0167	Dangstetten, Dangstetten	8.31944, 47.59581	flǖge	f l ü ̄ g e	flüge	f l ü g e	1
174	TUTT c3	III_12_0156, III_12_0157	St. Georgen, St. Georgen	8.33183, 48.12564	flīeg	f l ī e g	fliage	f l i a g e	3
175	TUTT N5	III_37_0003	Untermettingen, Untermettingen	8.34615, 47.70245	flǖge	f l ü ̄ g e	flüüge	f l üü g e	1
176	TUTT U4	III_38_0006	Horheim, Horheim	8.34737, 47.64854	flǖgä	f l ü ̄ g ä	flüge	f l ü g e	2
177	TÜB F1	III_29_0001	Kaltbrunn, Kaltbrunn	8.35246, 48.34621	flie̠ge	f l ie ̠ g e	fli͜eg	f l i ͜ e g	3
178	TUTT U3	III_38_0004	Schwerzen, Schwerzen	8.35642, 47.64323	flüge	f l ü g e	flǖge	f l ü ̄ g e	1
179	TUTT N4	III_37_0001	Obermettingen, Obermettingen	8.35956, 47.7213	flüge	f l ü g e	flügä	f l ü g ä	1
180	TUTT F6	III_36_0014	Bettmaringen, Bettmaringen	8.36102, 47.75368	flügeaͣͦ	f l ü g e a ͣ ͦ	flüge	f l ü g e	3
181	TUTT y1	III_35_0004	Dittishausen, Dittishausen	8.36266, 47.90077	fliega	f l ie g a	flieg	f l ie g	1
182	TÜB N1	III_30_0007	Schenkenzell, Schenkenzell	8.37253, 48.31105	fliage	f l i a g e	fliäge	f l i ä g e	1
183	TUTT c2	III_32_0002	Peterzell, Peterzell	8.37425, 48.13255	fliag	f l i a g	fliege	f l ie g e	2
184	TUTT Ua1	III_38_0083	Lienheim, Lienheim	8.37469, 47.5721	flǖge	f l ü ̄ g e	flüge	f l ü g e	1
185	TUTT c1	III_32_0001	Buchenberg, Buchenberg	8.37655, 48.16035	fliege	f l ie g e	flieg	f l ie g	1
186	TUTT F5	III_36_0015	Oberwangen u. Unterwangen, Oberwangen	8.3775, 47.7761	flǖge	f l ü ̄ g e	flüge	f l ü g e	1
187	TUTT N6	III_37_0006	Obereggingen, Obereggingen	8.38631, 47.70175	flüga	f l ü g a	fliege	f l ie g e	3
188	TUTT r3	III_34_0006	Hubertshofen, Hubertshofen	8.38827, 47.96002	fliēge	f l i ē g e	fliäg	f l i ä g	2
189	TUTT N3	III_37_0004	Mauchen, Mauchen	8.39032, 47.73994	fliega	f l ie g a	flüge	f l ü g e	3
190	TUTT U2	III_38_0001	Rechberg, Rechberg	8.39987, 47.6501	flüge	f l ü g e	flüege	f l ü e g e	1
191	TUTT F13	III_36_0010, III_36_0009, III_36_0008	Dillendorf, Dillendorf	8.40272, 47.79846	flüge	f l ü g e	fliege	f l ie g e	2
192	TUTT y11	III_35_0009	Bachheim, Bachheim	8.4031, 47.85931	flīég	f l ī é g	fliig	f l ii g	2
193	TUTT k7	III_34_0001	Tannheim, Tannheim	8.41033, 47.99946	fliäg	f l i ä g	fliage	f l i a g e	2
194	TUTT k8	III_33_0004, III_33_0003, III_33_0005	Pfaffenweiler, Pfaffenweiler	8.41798, 48.03273	fliege	f l ie g e	flieege	f l iee g e	1
195	TUTT N2	III_37_0008	Eberfingen, Eberfingen	8.42708, 47.72036	flüga	f l ü g a	flüge	f l ü g e	1
196	TUTT c8	III_32_0009	Mönchweiler, Mönchweiler	8.42939, 48.09993	fliege	f l ie g e	fliäg	f l i ä g	2
197	TUTT F12	III_36_0011	Lembach, Lembach	8.43056, 47.80389	fliegeͦ	f l ie g e ͦ	fliege	f l ie g e	1
198	TUTT U7	III_38_0014	Riedern am Sand (im SprachGIS: Unter Riedern), Riedern am Sand	8.4462, 47.6245	flüge	f l ü g e	flüüge	f l üü g e	1
199	TUTT F11	III_36_0012	Lausheim, Lausheim	8.45286, 47.81178	flīge	f l ī g e	fliege	f l ie g e	2
200	TUTT k2	III_33_0006	Rietheim, Rietheim	8.45381, 48.02981	fliga	f l i g a	fliega	f l ie g a	1
201	TUTT k1	III_33_0069	Vilingen, Villingen	8.45901, 48.0567	flīeg	f l ī e g	fliege	f l ie g e	2
202	TUTT c5	III_32_0006	Neuhausen, Neuhausen	8.45905, 48.13221	fliëge	f l i ë g e	fliege	f l ie g e	1
203	TÜB U2	III_31_0007, III_31_0005, III_31_0006	Weiler/Villingen, Tennenbronn	8.46043, 48.17227	fliëg	f l i ë g	flieg	f l ie g	1
204	TUTT F8	III_36_0149	Weizen, Weizen	8.46354, 47.77888	flīge	f l ī g e	fliege	f l ie g e	2
