	Fragebogen-Nr. Maurer	Fragebogen-Nr. DWA	Ort	Longitude	Latitude	Item Maurer	Item DWA	Levenshtein Item Min	z_score_item	Phontype Maurer	Phontype DWA	Levenshtein Phontype Min	z_score_phontype	Lextype Maurer	Lextype DWA	Levenshtein Lextype Min	z_score_lextype
2094	TUTT w5	III_14_0073	Raitenbuch	8.14698	47.86647	bflumme	pfluma	3	0.8055815470161238	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2095	TUTT w6	III_14_0074	Altglashütten	8.11016	47.85701	pflumm	pflumme	1	-0.25251144499813616	pflum	pflume	1	-0.06528309456870167	Pflaume	Pflaume	0	-0.48323353219796433
2096	TUTT w7	na	Aha	8.1233	47.8356	pflume	na	999	527.7358915701176	pflume	na	999	529.1860287263053	Pflaume	na	999	529.091394870162
2097	TUTT x1	na	Rötenbach	8.29448	47.89247	pflume	na	999	527.7358915701176	pflume	na	999	529.1860287263053	Pflaume	na	999	529.091394870162
2098	TUTT x2	na	Neustadt	8.21309	47.91261	pflu̠me	na	999	527.7358915701176	pflume	na	999	529.1860287263053	Pflaume	na	999	529.091394870162
2099	TUTT x3	na	Saig	8.17667	47.89199	pflume	na	999	527.7358915701176	pflume	na	999	529.1860287263053	Pflaume	na	999	529.091394870162
2100	TUTT x4	III_14_0079	Lenzkirch und Kappel	8.20144	47.8687	pflumme	pflumme	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2101	TUTT x5	III_14_0076	Holzschlag	8.26456	47.84976	pflume	pfluma	1	-0.25251144499813616	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2102	TUTT x6	III_14_0078	Gündelwangen	8.29672	47.84246	pflumme	pflumme	0	-0.7815579410052661	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2103	TUTT x7	III_14_0077	Göschweiler	8.31065	47.85812	pflumme	pflume	1	-0.25251144499813616	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2104	TUTT y1	III_35_0004	Dittishausen	8.36266	47.90077	pflume	pflumä	1	-0.25251144499813616	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
2105	TUTT y2	na	Löffingen	8.34547	47.8844	pflumme	na	999	527.7358915701176	pflume	na	999	529.1860287263053	Pflaume	na	999	529.091394870162
2106	TUTT y3	III_35_0003	Seppenhofen	8.34864	47.8748	pflume	pflumme	1	-0.25251144499813616	pflume	pflume	0	-0.5955950302609602	Pflaume	Pflaume	0	-0.48323353219796433
