	Fragebogen_maurer	Fragebogen_DWA	Ort	Koordinaten	item_maurer	item_maurer_align	item_DWA	item_DWA_align	Levenshtein_item
1469	Co K14	III_14_0164, III_14_0163	Fröhnd, Fröhnd-Stutz, Fröhnd-Ittenschwand	7.88397, 47.7603	fledermus	f l e d e r m u s	flädermus	f l ä d e r m u s	1
1470	Stra D 17	III_10_0131, III_10_0133, III_10_0132	Schutterwald, Schutterwald	7.88679, 48.45347	fledermuus	f l e d e r m uu s	fladermus	f l a d e r m u s	2
1471	Stra D 17	III_10_0131, III_10_0133, III_10_0132	Schutterwald, Schutterwald	7.88679, 48.45347	fledermuus	f l e d e r m uu s	flädermus	f l ä d e r m u s	2
1472	Stra p 2/2, Stra p 2/1	III_9_0084	Diersheim, Diersheim	7.8874, 48.64789	fläddermus	f l ä dd e r m u s	fladdermus	f l a dd e r m u s	1
1473	Stra p 2/2, Stra p 2/1	III_9_0084	Diersheim, Diersheim	7.8874, 48.64789	fleddermŭs	f l e dd e r m ŭ s	fladdermus	f l a dd e r m u s	2
1474	Stra p 6	III_9_0083	Holzhausen, Holzhausen	7.92018, 48.62595	fladdermus	f l a dd e r m u s	fladdermuus	f l a dd e r m u u s	1
1475	Stra p 6	III_9_0083	Holzhausen, Holzhausen	7.92018, 48.62595	fladdermus	f l a dd e r m u s	fläddermuus	f l ä dd e r m u u s	2
1476	Hag R 1, Hag K 11 R 1	III_5_0102	Kühlendorf (Kuhlendorf), Kühlendorf (Kuhlendorf) und Hohweiler, Hohweiler	7.92307, 48.91408	fladdermǖs	f l a dd e r m ǖ s	fladdermüs	f l a dd e r m ü s	1
1477	Co g 13	III_12_0126, III_12_0127	Freiamt-Reichenbach, Freiamt-Reichenbach	7.92477, 48.15747	flädermūs	f l ä d e r m ū s	flädermus	f l ä d e r m u s	1
1478	Co g 13	III_12_0126, III_12_0127	Freiamt-Reichenbach, Freiamt-Reichenbach	7.92477, 48.15747	flädermūs	f l ä d e r m ū s	fledermus	f l e d e r m u s	2
1479	Stra D 8	III_10_0128, III_10_0127	Offenburg, Offenburg	7.9447, 48.47195	fledermus	f l e d e r m u s	flädermus	f l ä d e r m u s	1
1480	Co Ya 2	III_17_0048, III_17_0053, III_17_0052, III_17_0049, III_17_0055, III_17_0050	Obersäckingen, Säckingen	7.96171, 47.57476	flǟdermuus	f l ǟ d e r m uu s	flädermus	f l ä d e r m u s	2
1481	Co Ya 2	III_17_0048, III_17_0053, III_17_0052, III_17_0049, III_17_0055, III_17_0050	Obersäckingen, Säckingen	7.96171, 47.57476	flǟdermuus	f l ǟ d e r m uu s	fledermaus	f l e d e r m a u s	2
1482	Co Ya 2	III_17_0048, III_17_0053, III_17_0052, III_17_0049, III_17_0055, III_17_0050	Obersäckingen, Säckingen	7.96171, 47.57476	flǟdermuus	f l ǟ d e r m uu s	fledermus	f l e d e r m u s	2
1483	Co Ya 2	III_17_0048, III_17_0053, III_17_0052, III_17_0049, III_17_0055, III_17_0050	Obersäckingen, Säckingen	7.96171, 47.57476	flǟdermuus	f l ǟ d e r m uu s	fledermuus	f l e d e r m uu s	1
1484	Stra w 4	III_10_0054, III_10_0053	Urloffen, Urloffen	7.96889, 48.557	flǟdrmūs	f l ǟ d r m ū s	flädermus	f l ä d e r m u s	3
1485	Stra w 4	III_10_0054, III_10_0053	Urloffen, Urloffen	7.96889, 48.557	flǟdrmūs	f l ǟ d r m ū s	fledermus	f l e d e r m u s	3
1486	TUTT L4/2, Co K12, TUTT L4/1, Co R15, TUTT D5	III_15_0073, III_14_0176	Todtmoos, Todtmoos (-Rütte), Todtmoos , Todtmoos	8.00438, 47.74133	flädrmus	f l ä d r m u s	fledermus	f l e d e r m u s	2
1487	TÜB h1/2, TÜB h1/1	III_9_0103	Gamshurst, Gamshurst	8.0187, 48.66413	flädermūs	f l ä d e r m ū s	flädermus	f l ä d e r m u s	1
1488	TÜB h1/2, TÜB h1/1	III_9_0103	Gamshurst, Gamshurst	8.0187, 48.66413	flädrmūs	f l ä d r m ū s	flädermus	f l ä d e r m u s	2
1489	TÜB S2, TÜB S1	III_12_0060, III_12_0058	Biederbach, Ober- und Unterbiederbach, Unterbiederbach, Oberbiederbach	8.02694, 48.2183	flädermus	f l ä d e r m u s	fledermaus	f l e d e r m a u s	2
1490	TÜB S2, TÜB S1	III_12_0060, III_12_0058	Biederbach, Ober- und Unterbiederbach, Unterbiederbach, Oberbiederbach	8.02694, 48.2183	flädermus	f l ä d e r m u s	fledermus	f l e d e r m u s	1
1491	KST L10	III_6_0093, III_6_0092	Forstfeld, Forstfeld	8.03702, 48.859	fläddermüs	f l ä dd e r m ü s	fleddermüs	f l e dd e r m ü s	1
1492	TUTT S6	III_16_0129, III_16_0130	Oberwihl, Oberwihl	8.04597, 47.62098	fledermus	f l e d e r m u s	fleͣ̈dermus	f l e ͣ ̈ d e r m u s	2
1493	TUTT L/S7, TUTT S1	III_15_0093, III_15_0095	Strittmatt, Strittmatt und Engelschwand, Strittmatt, Engelschwand	8.04718, 47.66382	fledermus	f l e d e r m u s	fladermus	f l a d e r m u s	1
1494	TUTT a4	III_12_0148, III_12_0147, III_12_0149	Simonswald, Untersimonswald	8.04838, 48.10278	flädermus	f l ä d e r m u s	fledermus	f l e d e r m u s	1
1495	TUTT a4	III_12_0148, III_12_0147, III_12_0149	Simonswald, Untersimonswald	8.04838, 48.10278	flädermus	f l ä d e r m u s	fledermuus	f l e d e r m uu s	2
1496	TÜB S4	III_12_0055, III_12_0056, III_12_0057	Elzach, Elzach	8.07142, 48.17331	flädermūs	f l ä d e r m ū s	flädermus	f l ä d e r m u s	1
1497	TÜB S4	III_12_0055, III_12_0056, III_12_0057	Elzach, Elzach	8.07142, 48.17331	flädermūs	f l ä d e r m ū s	fledermus	f l e d e r m u s	2
1498	TÜB D1/1, TÜB D1/2	III_11_0069, III_11_0068	Nordrach, Nordrach	8.08082, 48.39898	fledermaus	f l e d e r m a u s	flädermus	f l ä d e r m u s	2
1499	TÜB D1/1, TÜB D1/2	III_11_0069, III_11_0068	Nordrach, Nordrach	8.08082, 48.39898	fledermaus	f l e d e r m a u s	fledermus	f l e d e r m u s	1
1500	TÜB D1/1, TÜB D1/2	III_11_0069, III_11_0068	Nordrach, Nordrach	8.08082, 48.39898	fledermus	f l e d e r m u s	flädermus	f l ä d e r m u s	1
1501	TÜB w2	III_10_0066, III_10_0067	Ödsbach, Oedsbach	8.08784, 48.49713	flǟdermūs	f l ǟ d e r m ū s	flädermus	f l ä d e r m u s	2
1502	TÜB w2	III_10_0066, III_10_0067	Ödsbach, Oedsbach	8.08784, 48.49713	flǟdermūs	f l ǟ d e r m ū s	flädermuͦs	f l ä d e r m u ͦ s	3
1503	TÜB w2	III_10_0066, III_10_0067	Ödsbach, Oedsbach	8.08784, 48.49713	flǟdermūs	f l ǟ d e r m ū s	flädrmuͦs	f l ä d r m u ͦ s	4
1504	TUTT L/8,9	III_15_0098, III_15_0099	Hierbach - Wilfingen, Hierbach, Wilfingen	8.09123, 47.686	flǟdermūs	f l ǟ d e r m ū s	fleddrmuus	f l e dd r m u u s	4
1505	TUTT L/8,9	III_15_0098, III_15_0099	Hierbach - Wilfingen, Hierbach, Wilfingen	8.09123, 47.686	flǟdermūs	f l ǟ d e r m ū s	fledermus	f l e d e r m u s	2
1506	TUTT h3, TUTT p1	III_13_0081, III_13_0080, III_13_0078, III_13_0079	St. Märgen-Schweighöfe, St. Märgen, St. Märgen	8.09239, 48.00756	fledermus	f l e d e r m u s	flädermus	f l ä d e r m u s	1
1507	TUTT h3, TUTT p1	III_13_0081, III_13_0080, III_13_0078, III_13_0079	St. Märgen-Schweighöfe, St. Märgen, St. Märgen	8.09239, 48.00756	fledermus	f l e d e r m u s	fledermues	f l e d e r m u e s	1
1508	TUTT S5, TUTT Sa8	III_17_0060	Luttingen, Luttingen und Grunholz, Luttingen	8.09878, 47.57252	flǟdermūs	f l ǟ d e r m ū s	fleedermus	f l ee d e r m u s	3
1509	TUTT S5, TUTT Sa8	III_17_0060	Luttingen, Luttingen und Grunholz, Luttingen	8.09878, 47.57252	fledermus	f l e d e r m u s	fleedermus	f l ee d e r m u s	1
1510	TÜB h15	III_9_0101, III_9_0102	Kappelrodeck, Kappelrodeck	8.11791, 48.59087	fledermus	f l e d e r m u s	fledermaus	f l e d e r m a u s	1
1511	TÜB S5, TÜB S6	III_12_0063, III_12_0062, III_12_0061, III_12_0064	Unterprechtal, Oberprechtal, Unterprechtal, Oberprechtal	8.12114, 48.20548	flädermus	f l ä d e r m u s	fledermus	f l e d e r m u s	1
1512	TÜB S5, TÜB S6	III_12_0063, III_12_0062, III_12_0061, III_12_0064	Unterprechtal, Oberprechtal, Unterprechtal, Oberprechtal	8.12114, 48.20548	flädermus	f l ä d e r m u s	fledermuus	f l e d e r m uu s	2
1513	TÜB S5, TÜB S6	III_12_0063, III_12_0062, III_12_0061, III_12_0064	Unterprechtal, Oberprechtal, Unterprechtal, Oberprechtal	8.12114, 48.20548	flädermūs	f l ä d e r m ū s	flädermus	f l ä d e r m u s	1
1514	TÜB S5, TÜB S6	III_12_0063, III_12_0062, III_12_0061, III_12_0064	Unterprechtal, Oberprechtal, Unterprechtal, Oberprechtal	8.12114, 48.20548	flädermūs	f l ä d e r m ū s	fledermus	f l e d e r m u s	2
1515	TÜB S5, TÜB S6	III_12_0063, III_12_0062, III_12_0061, III_12_0064	Unterprechtal, Oberprechtal, Unterprechtal, Oberprechtal	8.12114, 48.20548	flädermūs	f l ä d e r m ū s	fledermuus	f l e d e r m uu s	3
1516	TÜB h12	III_9_0093, III_9_0094	Lauf, Lauf	8.12648, 48.65317	fleddermus	f l e dd e r m u s	fledermus	f l e d e r m u s	1
1517	TÜB h12	III_9_0093, III_9_0094	Lauf, Lauf	8.12648, 48.65317	fleddermus	f l e dd e r m u s	fleddermuus	f l e dd e r m u u s	1
1518	TÜB D2/2, TÜB D3, TÜB D2/1, TÜB E1	III_11_0077, III_11_0076	Oberharmersbach, Oberharmersbach	8.12723, 48.37386	flädermus	f l ä d e r m u s	fledermus	f l e d e r m u s	1
1519	TÜB D2/2, TÜB D3, TÜB D2/1, TÜB E1	III_11_0077, III_11_0076	Oberharmersbach, Oberharmersbach	8.12723, 48.37386	fledermǖs	f l e d e r m ü ̄ s	flädermus	f l ä d e r m u s	3
1520	TÜB D2/2, TÜB D3, TÜB D2/1, TÜB E1	III_11_0077, III_11_0076	Oberharmersbach, Oberharmersbach	8.12723, 48.37386	fledermǖs	f l e d e r m ü ̄ s	fledermus	f l e d e r m u s	2
1521	TÜB D2/2, TÜB D3, TÜB D2/1, TÜB E1	III_11_0077, III_11_0076	Oberharmersbach, Oberharmersbach	8.12723, 48.37386	flǟdermūs	f l ǟ d e r m ū s	flädermus	f l ä d e r m u s	2
1522	TÜB D2/2, TÜB D3, TÜB D2/1, TÜB E1	III_11_0077, III_11_0076	Oberharmersbach, Oberharmersbach	8.12723, 48.37386	flǟdermūs	f l ǟ d e r m ū s	fledermus	f l e d e r m u s	2
1523	TÜB D2/2, TÜB D3, TÜB D2/1, TÜB E1	III_11_0077, III_11_0076	Oberharmersbach, Oberharmersbach	8.12723, 48.37386	fledermus	f l e d e r m u s	flädermus	f l ä d e r m u s	1
1524	TUTT D4	III_14_0173, III_14_0171, III_14_0174, III_14_0172	St. Blasien, St. Blasien	8.12792, 47.76144	fledermus	f l e d e r m u s	flädermus	f l ä d e r m u s	1
1525	TUTT L12	III_15_0107, III_15_0106, III_15_0105	Remetschwiel/Brunnadern, Remetschwiel	8.14553, 47.68929	fledermus	f l e d e r m u s	flädermus	f l ä d e r m u s	1
