lfd	Fragebogen	Ort	GID	LONG	LAT	org	item	phontype	lextype	belegnr.	erhebung	korrektur
na	III_12_0068	Niederwasser	132963	8.22818	48.18982	Gugummere	gugummere	gugummere	Gugummer	1	DWA	na
na	III_12_0069	Rensberg	534787	8.1889	48.17741	Gurke (w), (Große:) Gugumere	gurke	gurke	Gurke	1	DWA	na
na	III_12_0069	Rensberg	534787	8.1889	48.17741	Gurke (w), (Große:) Gugumere	gugumere	gugummere	Gugummer	2	DWA	na
na	III_12_0070	Schwanenbach	544452	8.26562	48.1922	Gugumer (w)	gugumer	gugummer	Gugummer	1	DWA	na
na	III_12_0071	Schwanenbach	544452	8.26562	48.1922	Gugommere (w)	gugommere	gugommere	Gugummer	1	DWA	na
na	III_12_0072	Reichenbach	564234	8.22958	48.21343	Gugommer	gugommer	gugommer	Gugummer	1	DWA	na
na	III_12_0073	Reichenbach	564234	8.22958	48.21343	Gugumere (w)	gugumere	gugummere	Gugummer	1	DWA	na
na	III_12_0075	Bebelnheim	23091	7.32264	48.15802	(große:) Gugumera (w), (kleine:) Gormischengla (s)	gugumera	gugummere	Gugummer	1	DWA	na
na	III_12_0075	Bebelnheim	23091	7.32264	48.15802	(große:) Gugumera (w), (kleine:) Gormischengla (s)	gormischengla 	gormischengla	Cornichengle	2	DWA	na
na	III_12_0076	Mittelweier	36050	7.32094	48.14982	Gugumr	gugumr	gugummer	Gugummer	1	DWA	na
na	III_12_0077	Mittelweier	36050	7.32094	48.14982	Gugummr	gugummr	gugummer	Gugummer	1	DWA	na
na	III_12_0078	Bennweier	32768	7.32417	48.14496	Gugummer	gugummer	gugummer	Gugummer	1	DWA	na
na	III_12_0079	Sigolsheim	31490	7.3035	48.13267	Gogommer	gogommer	gagommer	Gugummer	1	DWA	na
na	III_12_0080	Kientzheim	28927	7.28695	48.13649	Gu̯gú̯mm̯er	gu̯gú̯mm̯er	gugummer	Gugummer	1	DWA	na
na	III_12_0081	Kaysersberg	33826	7.2617	48.13853	Gogommer (w)	gogommer	gagommer	Gugummer	1	DWA	na
na	III_12_0082	Ammerschweier	33968	7.28484	48.12465	Gugŭmmer	gugŭmmer	gugummer	Gugummer	1	DWA	na
na	III_12_0083	Katzental	29793	7.28497	48.10796	Gugummer (w)	gugummer	gugummer	Gugummer	1	DWA	na
na	III_12_0084	Niedermorschweiher	29261	7.27596	48.09972	Gugumer (w)	gugumer	gugummer	Gugummer	1	DWA	na
na	III_12_0085	Türkheim	25620	7.27884	48.0862	Gugummer	gugummer	gugummer	Gugummer	1	DWA	na
na	III_12_0086	Ingersheim	26048	7.30725	48.0936	Gagumere	gagumere	gagummere	Gugummer	1	DWA	na
na	III_12_0087	Logelbach	35799	7.30991	48.0865	Gagummer (von Concombre)	gagummer	gagummer	Gugummer	1	DWA	na
na	III_12_0088	Ostheim	23926	7.37011	48.1551	Gāgōmmer (w) (franz. concombre)	gāgōmmer	gagommer	Gugummer	1	DWA	na
na	III_12_0089	Elsenheim	23948	7.50131	48.16133	Gagumer (w)	gagumer	gagummer	Gugummer	1	DWA	na
na	III_12_0090	Grussenheim	36033	7.48794	48.1443	Gagumra	gagumra	gagummere	Gugummer	1	DWA	na
na	III_12_0091	Jebsheim	26934	7.47771	48.12279	Gugummer	gugummer	gugummer	Gugummer	1	DWA	na
na	III_12_0092	Riedweier	23630	7.44536	48.12387	Gugummere (d', w)	gugummere  	gugummere	Gugummer	1	DWA	na
