Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Weitbruch	7.77586	48.7535	1	-0.2786691101280208	0.048394726402067656
Bernolsheim	7.69085	48.75532	2	0.3426621297614917	-0.021400322152703516
Hochstett	7.67779	48.77853	1	-0.2786691101280208	0.015554117704662213
Batzendorf	7.70638	48.78331	2	0.3426621297614917	-0.015417123975155133
Wintershausen	7.70271	48.79349	0	-0.9000003500175333	-0.015069308638110903
Sufflenheim	7.95924	48.82979	1	-0.2786691101280208	-0.026297407777794657
Schirrhofen	7.9193	48.8066	0	-0.9000003500175333	-0.14240755669636804
Schirrhein	7.90562	48.80154	4	1.5853246095405167	-0.08105927164730987
Kaltenhausen	7.83521	48.79041	0	-0.9000003500175333	-0.06147243459351704
Oberhofen (Oberhoffen-Sur-Moder)	7.86327	48.78298	3	0.9639933696510041	-0.06390665936117318
Bischweiler	7.85912	48.76826	0	-0.9000003500175333	-0.03900100291550726
Rohrwiller	7.90543	48.75592	3	0.9639933696510041	-0.002795131055126642
Falhünden (Dalhünden)	7.98835	48.77367	1	-0.2786691101280208	-0.10256869242938484
Silzheim (Siltzheim)	7.09071	49.0616	1	-0.2786691101280208	0.03234595124704975
Herbitzheim	7.08355	49.01459	0	-0.9000003500175333	0.23478904010013668
Kaysersberg	7.2617	48.13853	1	-0.2786691101280208	0.07445695377919867
Bebelnheim (Beblenheim)	7.32264	48.15802	1	-0.2786691101280208	0.1132184752501819
Türkheim (Turckheim)	7.27884	48.0862	1	-0.2786691101280208	0.09578651799502319
Katzenthal	7.28497	48.10796	2	0.3426621297614917	-0.12958393208827715
Niedermorschweiher	7.27596	48.09972	1	-0.2786691101280208	0.09753833161208675
Kientzheim	7.28695	48.13649	2	0.3426621297614917	-0.12470398079138938
Bennweier	7.32417	48.14496	0	-0.9000003500175333	0.3296648343765818
Sigolsheim	7.3035	48.13267	1	-0.2786691101280208	0.10089904967475168
Ingersheim	7.30725	48.0936	0	-0.9000003500175333	0.34045352008152713
Ammerschweier	7.28484	48.12465	2	0.3426621297614917	-0.1426589171840987
Mittelweier	7.32094	48.14982	0	-0.9000003500175333	0.3569477340095761
Ostheim	7.37011	48.1551	0	-0.9000003500175333	0.3781223021327564
Munzenheim (Muntzenheim), Munzenheim (Muntzenheim)	7.47318	48.10199	0	-0.9000003500175333	0.3335257803676688
Bischweier	7.43735	48.09944	1	-0.2786691101280208	0.1146447605656354
Holzweier	7.42541	48.11028	1	-0.2786691101280208	0.10899020112124902
Riedweier	7.44536	48.12387	1	-0.2786691101280208	0.1378129062631703
Wickerschweier	7.43868	48.10708	2	0.3426621297614917	-0.14576445325272822
Jebsheim	7.47771	48.12279	0	-0.9000003500175333	0.3264862036504809
Hausen bei Kolmar (Housen)	7.37665	48.125	0	-0.9000003500175333	0.4432690868422253
Elsenheim	7.50131	48.16133	1	-0.2786691101280208	0.08821157151718104
Fortschweier	7.45233	48.08996	0	-0.9000003500175333	0.4206404725455707
Grusenheim	7.48794	48.1443	1	-0.2786691101280208	0.08246347310091504
Marckolsheim	7.54583	48.1675	1	-0.2786691101280208	0.0799870794211062
Kiechlinsbergen	7.65306	48.12469	2	0.3426621297614917	0.026594656049702754
Burkheim am Kaiserstuhl	7.59943	48.10194	1	-0.2786691101280208	0.06928540554404199
Bischoffingen	7.62537	48.10625	1	-0.2786691101280208	0.023266346573866403
Wyhl am Kaiserstuhl	7.64933	48.1663	2	0.3426621297614917	0.009019225778155223
Dürrenenzen (Dürrenentzen)	7.50406	48.09192	0	-0.9000003500175333	0.260051744240795
Balzenheim (Baltzenheim)	7.55624	48.09319	4	1.5853246095405167	-0.40881773341310984
Arzenheim (Artzenheim)	7.5426	48.11609	0	-0.9000003500175333	0.26503391906820445
Königschaffhausen am Kaiserstuhl	7.65562	48.13337	1	-0.2786691101280208	-0.005400722254220506
Sasbach	7.61363	48.13798	1	-0.2786691101280208	0.03454532808216067
Oberrotweil	7.63551	48.08944	1	-0.2786691101280208	0.007819275996082979
Endingen	7.70312	48.1419	1	-0.2786691101280208	-0.028856163390484534
Riegel	7.7507	48.15056	1	-0.2786691101280208	-0.050648570062858146
Nimburg	7.77794	48.10762	1	-0.2786691101280208	-0.05116605262432482
Bottingen	7.78356	48.09119	0	-0.9000003500175333	-0.14347051807500005
Malterdingen	7.79392	48.16302	2	0.3426621297614917	0.060524356397608975
Schelingen am Kaiserstuhl	7.68308	48.10435	1	-0.2786691101280208	-0.016910384316750394
Eichstetten	7.74563	48.09417	3	0.9639933696510041	0.09299783244550817
Köndringen	7.80591	48.13912	1	-0.2786691101280208	-0.03321552887427376
Forchheim	7.7031	48.16341	3	0.9639933696510041	0.06525132152840253
Bahlingen	7.73937	48.12209	5	2.2066558494300295	0.2765342747570999
Teningen	7.80344	48.12897	2	0.3426621297614917	0.05435136084611519
Amoltern	7.67629	48.12873	0	-0.9000003500175333	-0.08599586834505173
Waldkirch	7.96049	48.09361	1	-0.2786691101280208	0.09070611009114474
Waser	7.8564	48.09846	2	0.3426621297614917	-0.003963105749417833
Windenreuthe (Emmendingen)	7.88675	48.11814	0	-0.9000003500175333	0.05208640849761464
Siensbach	7.98804	48.10755	2	0.3426621297614917	-0.1054424031630178
Siegelau	7.97753	48.14612	0	-0.9000003500175333	0.3133209135912573
Sexau	7.90788	48.10424	2	0.3426621297614917	-0.07168703345917934
Mundingen	7.8346	48.13735	0	-0.9000003500175333	-0.10751300201713593
Kollnau	7.9721	48.10586	1	-0.2786691101280208	0.08917012404678315
Kollmarsreute	7.87829	48.10253	0	-0.9000003500175333	0.10481746398631804
Freiamt-Reichenbach	7.92477	48.15747	1	-0.2786691101280208	0.04373434102893365
Freiamt-Mußbach (Musbach)	7.88578	48.17377	1	-0.2786691101280208	0.012483878146207513
Keppenbach	7.92037	48.14437	2	0.3426621297614917	-0.06844779339352498
Gutach	7.98722	48.11814	0	-0.9000003500175333	0.20704414671827326
Münster (Munster), Münster (Munster)	7.13185	48.0418	1	-0.2786691101280208	0.09714481390902721
Sulzern (Soultzeren)	7.10254	48.06373	1	-0.2786691101280208	0.06783240268322262
Metzeral	7.07146	48.01325	2	0.3426621297614917	-0.10700247607181454
Eschbach	7.14594	48.02896	0	-0.9000003500175333	0.20569797972760775
Hohrod	7.12607	48.05444	1	-0.2786691101280208	0.07974712679338312
Luttenbach (Luttenbach-Près-Munster)	7.11745	48.03105	0	-0.9000003500175333	0.24100057051598875
Breitenbach (Breitenbach-Haut-Rhin)	7.10087	48.02382	3	0.9639933696510041	-0.3331585516989602
Hohrodberg	7.13528	48.06037	1	-0.2786691101280208	0.059180195066384216
Stosweier	7.10163	48.05432	0	-0.9000003500175333	0.1817942170590797
Mühlbach (Muhlbach-Sur-Munster)	7.08731	48.02582	2	0.3426621297614917	-0.10065846127143113
Griesbach (Griesbach-Au-Val)	7.17071	48.03351	0	-0.9000003500175333	0.16387484057496446
Günsbach (Gunsbach)	7.17323	48.0464	1	-0.2786691101280208	0.04556689774518575
Wettolsheim	7.30629	48.06133	1	-0.2786691101280208	0.10636079692786417
Geberschweiher (Gueberschwihr)	7.27661	48.00444	0	-0.9000003500175333	0.10104405344667773
Hattstatt	7.30016	48.0108	1	-0.2786691101280208	0.041554157993082284
Häusern	7.28067	48.03226	0	-0.9000003500175333	0.20735364243331056
Walbach	7.22416	48.06257	0	-0.9000003500175333	0.30310021652398
Weier (Wihr-Au-Val)	7.20558	48.05217	1	-0.2786691101280208	0.07315014403562532
Sulzbach (Soultzbach-Les-Bains)	7.20324	48.03797	1	-0.2786691101280208	0.06598721303923902
Obermorschweier	7.30037	48.01773	1	-0.2786691101280208	0.045437244891631104
Vöklinshofen (Voegtlinshoffen)	7.28224	48.01954	2	0.3426621297614917	-0.068074398542577
Egisheim	7.30455	48.04168	0	-0.9000003500175333	0.1748016170131847
Zimmerbach	7.23755	48.07261	1	-0.2786691101280208	0.08894320575269177
Kolmar (/Hausen an der Möhlin), Kolmar, Kolmar, Kolmar, Kolmar, Kolmar	7.36359	48.08198	1	-0.2786691101280208	0.12639314056483686
Sundhofen (Sundhoffen)	7.41499	48.04248	3	0.9639933696510041	-0.36810021446965896
Heiligkreuz (Sainte-Croix-en-Plaine)	7.3831	48.00666	1	-0.2786691101280208	0.06312096562463937
Widensolen	7.47996	48.06278	2	0.3426621297614917	-0.13280204783036673
Logelnheim (Logelheim)	7.40918	48.0211	2	0.3426621297614917	-0.0904068515319171
Weier auf dem Land (Wihr-en-Plaine)	7.41118	48.0844	0	-0.9000003500175333	0.37407722872711335
Andolsheim	7.41512	48.06763	0	-0.9000003500175333	0.4018491991028508
Appenweier (Appenwihr)	7.43962	48.02594	0	-0.9000003500175333	0.3178037075896892
Hettenschlag 	7.45782	48.00441	0	-0.9000003500175333	0.25257764477394246
Urschenheim	7.48632	48.08696	2	0.3426621297614917	-0.11269542678991376
Breisach	7.59332	48.04535	1	-0.2786691101280208	0.06011545041169809
Gündlingen	7.64227	48.01556	1	-0.2786691101280208	-0.0013683781745299677
Ihringen	7.64554	48.04572	3	0.9639933696510041	0.009005070205595385
Achkarren	7.62448	48.06769	0	-0.9000003500175333	0.10559985048102694
Künheim (Kunheim)	7.53422	48.07788	1	-0.2786691101280208	0.07116155302638363
Volgelsheim	7.55292	48.01693	2	0.3426621297614917	-0.06553081098802667
Vogelgrün (Vogelgrun)	7.57243	48.0111	3	0.9639933696510041	-0.21661643740747352
Biesheim	7.54467	48.04048	0	-0.9000003500175333	0.24451274292621386
Wolfganzen	7.5016	48.02747	0	-0.9000003500175333	0.22956654274375984
Algolsheim	7.55708	48.00563	1	-0.2786691101280208	0.038048927261584174
Umgebung von Neubreisach (Weckolsheim)	7.51347	48.00264	1	-0.2786691101280208	0.059157557833687834
Reute	7.82538	48.08175	2	0.3426621297614917	0.01662499092403967
Umkirch	7.7624	48.03183	3	0.9639933696510041	-0.06376531123653596
Merdingen	7.68864	48.0173	1	-0.2786691101280208	0.007754808304461289
Hochdorf	7.80212	48.0489	0	-0.9000003500175333	0.0029165207285404577
Hugstetten	7.78045	48.05415	1	-0.2786691101280208	-0.003874835181002315
Buchheim	7.77912	48.06092	2	0.3426621297614917	-0.014579846211653395
Bötzingen	7.72593	48.07743	3	0.9639933696510041	-0.004723139955567886
Waltershofen	7.71857	48.02338	1	-0.2786691101280208	-0.014046903174329689
Zähringen	7.86149	48.02593	1	-0.2786691101280208	0.0463234571180185
Oberglottertal	7.96407	48.04803	0	-0.9000003500175333	0.25704478446657997
Gundelfingen	7.87313	48.04353	2	0.3426621297614917	-0.12375259549657844
Vörstetten	7.85113	48.06391	1	-0.2786691101280208	0.033691627881959105
Denzlingen	7.87987	48.06793	2	0.3426621297614917	-0.09914155454082735
Buchholz i.Br.	7.91201	48.08253	0	-0.9000003500175333	0.2622223217923206
Krüt (Kruth)	6.96629	47.92912	0	-0.9000003500175333	-0.08644987688772601
Wildenstein bei Krüt, Kreis Tann	6.96296	47.98143	2	0.3426621297614917	-0.006898642867440055
Lintal (Linthal, Kreis Tann)	7.12943	47.94619	0	-0.9000003500175333	0.18186831711526277
Lautenbach (Kreis Tann)	7.15877	47.9414	2	0.3426621297614917	-0.06502437827327905
Waserburg Kreis Colmar (Waserbourg)	7.15948	48.00283	3	0.9639933696510041	-0.32084966685782074
Sondernach	7.07276	47.99621	0	-0.9000003500175333	0.18878778313697167
Mittlach	7.03325	48.00405	0	-0.9000003500175333	0.10538587276743776
Murbach	7.1604	47.92318	2	0.3426621297614917	-0.04242183100155231
Lautenbachzell	7.14925	47.94057	0	-0.9000003500175333	0.15699341908192427
