Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Hindelwangen	9.00909	47.86237	0	-0.6063015950399561	-0.1452091547121285
Zizenhausen	9.0005	47.87365	1	-0.13605710141810876	-0.03125053267506925
Hoppetenzell	9.00808	47.89295	2	0.3341873922037386	0.06382876938369941
Mühlingen	9.01554	47.91191	3	0.8044318858255859	0.11333057167500483
Menzenschwand	8.07059	47.81749	0	-0.6063015950399561	-0.27659631330991913
Blasiwald (Am Schluchsee)	8.17706	47.7987	3	0.8044318858255859	0.14592123532276347
St. Blasien	8.12792	47.76144	9	3.62589884755667	1.1712987662519387
Schluchsee	8.17828	47.81706	2	0.3341873922037386	0.04527314037366661
Staufen	8.21221	47.75633	2	0.3341873922037386	0.053991738132204516
Wellendingen	8.35185	47.79705	0	-0.6063015950399561	-0.2945771992086368
Wittlekoffen	8.34635	47.78326	2	0.3341873922037386	0.1289978941533963
Oberwangen u. Unterwangen	8.3775	47.7761	3	0.8044318858255859	0.4723187610861743
Bettmaringen	8.36102	47.75368	8	3.1556543539348225	1.5509040331869313
Schwaningen, Schwaningen	8.42524	47.77843	1	-0.13605710141810876	-0.06915451283557433
Weizen	8.46354	47.77888	9	3.62589884755667	1.8909732206572245
Grimmelshofen	8.49573	47.78613	2	0.3341873922037386	0.272807984953412
Blumegg	8.49815	47.80904	2	0.3341873922037386	0.2891229300020975
Lausheim	8.45286	47.81178	3	0.8044318858255859	0.7090174871254884
Lembach	8.43056	47.80389	3	0.8044318858255859	0.5211917565314187
Dillendorf	8.40272	47.79846	4	1.2746763794474334	0.8825558901852929
Brunnadern	8.38083	47.79495	1	-0.13605710141810876	-0.09256887890583597
Fützen	8.5291	47.80794	2	0.3341873922037386	0.19847144851340698
Epfenhofen, Epfenhofen	8.55432	47.81867	4	1.2746763794474334	0.5486941293506395
Kommingen	8.61478	47.81599	3	0.8044318858255859	0.2675019063200136
Uttenhofen	8.63235	47.80782	1	-0.13605710141810876	-0.05160772267477351
Tengen	8.66036	47.81721	2	0.3341873922037386	0.05942779014748008
Wiechs a. R.	8.64153	47.78137	0	-0.6063015950399561	-0.14080931400102023
Ehingen	8.80075	47.82351	0	-0.6063015950399561	-0.2240297632496827
Duchtlingen	8.79029	47.79154	1	-0.13605710141810876	-0.03484773507195632
Hilzingen	8.78189	47.7649	3	0.8044318858255859	0.13036687219331222
Riedheim	8.74873	47.76389	3	0.8044318858255859	0.1482038659051097
Binningen	8.72585	47.79296	2	0.3341873922037386	0.07503131140685855
Büsslingen, Beuren a(m) R(ied)	8.6839	47.79252	0	-0.6063015950399561	-0.20290222252663212
Weil	8.7018	47.81859	3	0.8044318858255859	0.26404638659861196
Weiterdingen	8.76917	47.79954	0	-0.6063015950399561	-0.18418121583837496
Volkertshausen	8.863	47.82187	1	-0.13605710141810876	-0.028206395536426603
Schlatt (unter Krähen)	8.83529	47.80435	2	0.3341873922037386	0.10136856497336197
Schlatt (am Randen)	8.70119	47.76891	2	0.3341873922037386	0.0978447803059249
Singen	8.83317	47.76378	1	-0.13605710141810876	-0.024150190649300993
Beuren an der Aach	8.87459	47.79932	2	0.3341873922037386	0.13011574864885425
Steisslingen	8.92209	47.80296	2	0.3341873922037386	0.04600615495518593
Stahringen	8.97547	47.78849	2	0.3341873922037386	0.0958091222894156
Wahlwies, Wahlwies	8.96632	47.81985	2	0.3341873922037386	0.07294037133132537
Güttingen	8.998	47.77415	0	-0.6063015950399561	-0.2872501505778134
Nesselwangen	9.11824	47.81683	2	0.3341873922037386	0.22550346253048226
Bonndorf	9.09477	47.82968	8	3.1556543539348225	1.0745433161837672
Ludwigshafen, Ludwigshafen	9.05916	47.8189	2	0.3341873922037386	0.17560468244151012
Espasingen	9.01058	47.82135	1	-0.13605710141810876	-0.05902244575856729
Bodman	9.02835	47.80402	0	-0.6063015950399561	-0.2602367094994724
Liggeringen, Liggeringen	9.02698	47.77495	0	-0.6063015950399561	-0.2832679780781904
Möggingen	9.00337	47.76589	1	-0.13605710141810876	-0.06081317179311496
Überlingen	9.1592	47.76732	2	0.3341873922037386	0.2227454164373481
Hödingen	9.13275	47.78865	0	-0.6063015950399561	-0.3108465804474623
