Ort	Longitude	Latitude	Levenshtein Item Min	z_score	morans_i
Dunzenheim	7.53538	48.71278	1	-0.31610137989859083	0.0765447497307103
Sässolsheim	7.51503	48.70869	1	-0.31610137989859083	0.08357082343905227
Gugenheim	7.56591	48.70185	1	-0.31610137989859083	0.058734501808000286
Rohr	7.54735	48.69609	1	-0.31610137989859083	0.08703862052269899
Kienheim	7.57862	48.68905	2	0.16660402140537486	-0.026945371636410576
Willgottheim	7.51166	48.67082	0	-0.7988067812025565	0.23515690892888427
Wilwisheim	7.5074	48.74799	0	-0.7988067812025565	0.14758169036433183
Ingenheim	7.52092	48.7349	0	-0.7988067812025565	0.2183747388034664
Schnersheim	7.568	48.65809	2	0.16660402140537486	-0.021893396115181984
Brumath	7.71045	48.73026	2	0.16660402140537486	0.009299909322765997
Geudertheim	7.74686	48.72273	1	-0.31610137989859083	-0.016237275765434447
Kurzenhausen	7.80901	48.74019	0	-0.7988067812025565	0.0920863649872623
Hördt	7.78279	48.69341	0	-0.7988067812025565	-0.10651431523597762
Olwisheim	7.67511	48.69681	0	-0.7988067812025565	-0.005571838613310753
Eckwersheim	7.69351	48.68244	0	-0.7988067812025565	0.11606551762136405
Vendenheim	7.71285	48.66933	0	-0.7988067812025565	0.10656832661372502
Herlisheim (Herrlisheim), Herlisheim (Herrlisheim)	7.90651	48.72976	0	-0.7988067812025565	0.00870189719534805
Offendorf	7.91375	48.71167	0	-0.7988067812025565	-0.30816483003245043
Grauelsbaum	7.98186	48.73575	3	0.6493094227093406	0.09045718218040605
Helmlingen	7.9656	48.70959	2	0.16660402140537486	0.07671116059034364
Scherzheim	7.99655	48.7137	6	2.097425626621238	0.8331713464277869
Memprechtshofen	7.98237	48.68233	3	0.6493094227093406	0.23397408638172504
Freistett	7.93582	48.67138	0	-0.7988067812025565	-0.40035874062740406
Gambsheim	7.87971	48.69159	5	1.614720225317272	0.06049310769692479
Kilstett	7.85798	48.67473	3	0.6493094227093406	0.07885803093597397
Engenthal, Engental	7.30153	48.63467	1	-0.31610137989859083	-0.008490223991713858
Birkenwald	7.34505	48.65874	0	-0.7988067812025565	0.07424171567117842
Salental	7.37043	48.66739	1	-0.31610137989859083	0.0764507231673454
Singrist	7.38757	48.6705	1	-0.31610137989859083	0.0909122866597276
Jettersweiler	7.41482	48.67034	1	-0.31610137989859083	0.11219124832227614
Krastatt	7.4265	48.65831	0	-0.7988067812025565	0.28141341423310035
Rangen	7.47865	48.66636	3	0.6493094227093406	-0.1480632184683595
Hohengöft	7.47311	48.66189	0	-0.7988067812025565	0.14153433480881103
Romansweiler	7.40829	48.64445	2	0.16660402140537486	-0.04134593581281353
Wasselnheim (Wasselonne), Wasselnheim (Wasselonne)	7.44724	48.63718	0	-0.7988067812025565	0.22764229799570465
Wangen 	7.4664	48.61834	0	-0.7988067812025565	0.18606060765323207
Marlenheim, Kärchheim	7.49054	48.62101	0	-0.7988067812025565	0.15369889820549096
Kirchheim	7.49624	48.60963	0	-0.7988067812025565	0.156705983317759
Odratzheim	7.48778	48.60108	2	0.16660402140537486	-0.031180796290923136
Scharrachbergheim	7.49581	48.593	3	0.6493094227093406	-0.18210424668573785
Tränheim	7.46472	48.59545	1	-0.31610137989859083	0.09938300776229969
Allenweiler	7.37795	48.65555	0	-0.7988067812025565	0.17518825445333558
Hengweiler	7.33273	48.66842	1	-0.31610137989859083	0.01927170348037254
Koßweiler (Cosswiller)	7.39912	48.63165	11	4.510952633141066	-1.2811131373699656
Westhofen	7.44341	48.60424	0	-0.7988067812025565	0.24985022168778842
Winzenheim (Wintzenheim-Kochersberg)	7.51469	48.65916	0	-0.7988067812025565	0.20610205100227208
Truchtersheim	7.60723	48.66319	2	0.16660402140537486	-0.022758251440766007
Wiwersheim	7.60738	48.63994	0	-0.7988067812025565	0.1644923405762522
Offenheim	7.61838	48.63195	1	-0.31610137989859083	0.024971236740266238
Küttolsheim	7.52543	48.64343	2	0.16660402140537486	-0.060592292989005994
Nordheim	7.51005	48.63544	0	-0.7988067812025565	0.24562360484998685
Quatzenheim, Quatzenheim	7.57372	48.62636	0	-0.7988067812025565	0.028298760162647252
Hürtigheim	7.59369	48.6152	0	-0.7988067812025565	0.09170441063411966
Fürdenheim, Fürdenheim	7.56378	48.61325	0	-0.7988067812025565	0.041339965327724104
Ittenheim, Ittenheim	7.59542	48.60404	0	-0.7988067812025565	0.15506368497018197
Wanzenau	7.82574	48.65926	1	-0.31610137989859083	-0.05230065834501252
Reichstett	7.75359	48.6483	0	-0.7988067812025565	0.12424412048031784
Mundolsheim	7.71544	48.64179	2	0.16660402140537486	-0.03896421336659009
